host,ip,service,occurences,country,region,city,lat,lon,timelog
ns3,104.194.26.204,etsfrou1-wp,1,US,Nevada,Las Vegas,36.087700,-115.148499,2016-02-13 13:20:23
ns3,104.194.26.204,etsfrou1-wp,2,US,Nevada,Las Vegas,36.087700,-115.148499,2016-02-13 13:30:37
ns3,122.53.179.134,ssh,11,PH,Manila,Taguig,14.473600,121.048798,2016-02-13 13:30:50
ns3,104.194.26.204,etsfrou1-wp,3,US,Nevada,Las Vegas,36.087700,-115.148499,2016-02-13 13:40:49
ns3,104.194.26.204,etsfrou1-wp,4,US,Nevada,Las Vegas,36.087700,-115.148499,2016-02-13 13:51:01
