host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,178.162.198.135,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-01-31 07:10:45
ns1,209.239.112.201,cgpro-sip-100,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-01-31 07:17:51
ns1,188.138.33.32,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-01-31 07:35:19
ns1,183.3.202.108,ssh,1,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-01-31 07:56:01
ns1,183.3.202.108,recidive,1,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-01-31 07:56:02
