host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,209.126.124.208,cgpro-sip-invite,4,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-04 01:01:16
ns1,185.40.4.45,cgpro-sip-invite,4,RU,unknown,unknown,55.750000,37.616600,2016-02-04 01:01:30
ns1,108.59.4.195,cgpro-sip-100,4,US,Delaware,unknown,39.673401,-75.705200,2016-02-04 01:01:49
ns1,66.190.127.102,cgpro-smtp,11,US,Alabama,Birmingham,33.420101,-86.786697,2016-02-04 01:06:14
ns1,185.40.4.30,cgpro-sip-invite,3,RU,unknown,unknown,55.750000,37.616600,2016-02-04 01:06:17
ns1,192.187.127.250,cgpro-sip-invite,2,US,Missouri,Kansas City,39.147202,-94.573502,2016-02-04 01:07:21
ns1,194.63.142.19,cgpro-sip-invite,3,RU,unknown,unknown,55.750000,37.616600,2016-02-04 01:09:59
ns1,23.101.134.43,cgpro-sip-invite,3,US,District of Columbia,Washington,38.895100,-77.036400,2016-02-04 01:11:42
ns1,209.126.114.73,cgpro-sip-invite,4,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-04 01:21:16
ns1,66.190.127.102,cgpro-smtp,12,US,Alabama,Birmingham,33.420101,-86.786697,2016-02-04 01:22:19
ns1,66.190.127.102,cgpro-smtp,13,US,Alabama,Birmingham,33.420101,-86.786697,2016-02-04 01:38:13
ns1,66.190.127.102,cgpro-smtp,14,US,Alabama,Birmingham,33.420101,-86.786697,2016-02-04 01:54:12
