host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,193.201.225.27,ssh,2,UA,unknown,unknown,50.450001,30.523300,2016-02-06 00:15:16
ns1,221.194.57.246,ssh,16,CN,Hebei,Hebei,39.889702,115.275002,2016-02-06 00:15:16
ns1,202.114.72.243,ssh,2,CN,Hubei,Wuhan,30.580099,114.273399,2016-02-06 00:15:16
ns1,115.231.9.148,ssh,2,CN,Shanghai,Shanghai,31.045601,121.399696,2016-02-06 00:15:16
ns1,222.186.21.100,ssh,11,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-06 00:15:16
ns1,178.34.184.82,ssh,2,RU,unknown,unknown,55.750000,37.616600,2016-02-06 00:15:16
ns1,61.182.227.182,ssh,2,CN,Hebei,Hebei,39.889702,115.275002,2016-02-06 00:15:16
ns2,60.173.26.173,ssh,1,CN,Anhui,Hefei,31.863899,117.280800,2016-02-06 00:10:51
