host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,51.254.206.115,cgpro-sip-100,1,FR,unknown,unknown,48.860001,2.350000,2016-02-05 01:00:47
ns1,209.126.114.73,cgpro-sip-invite,5,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-05 01:03:50
ns1,63.141.238.58,cgpro-sip-100,5,US,Missouri,Kansas City,39.147202,-94.573502,2016-02-05 01:06:28
ns1,31.193.129.116,cgpro-sip-invite,1,GB,unknown,unknown,51.500000,-0.130000,2016-02-05 01:13:36
ns1,185.40.4.30,cgpro-sip-invite,4,RU,unknown,unknown,55.750000,37.616600,2016-02-05 01:16:47
ns1,195.154.177.160,cgpro-sip-invite,2,FR,unknown,unknown,48.860001,2.350000,2016-02-05 01:18:41
ns1,209.126.124.208,cgpro-sip-invite,5,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-05 01:22:30
ns1,212.83.188.161,cgpro-sip-100,2,FR,unknown,unknown,48.860001,2.350000,2016-02-05 01:28:31
ns1,185.40.4.78,cgpro-sip-invite,4,RU,unknown,unknown,55.750000,37.616600,2016-02-05 01:54:05
