host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,209.239.123.106,cgpro-sip-100,2,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-06 03:21:47<br/>2016-02-06 19:00:59<br/>
ns1,89.163.148.242,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-02-02 20:28:58<br/>
ns1,51.254.206.115,cgpro-sip-100,1,FR,unknown,unknown,48.860001,2.350000,2016-02-05 01:00:47<br/>
ns1,61.147.70.112,ssh,2,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-01 16:28:49<br/>2016-02-02 00:16:13<br/>
ns1,69.64.61.75,cgpro-sip-100,2,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-06 17:47:17<br/>2016-02-06 19:00:59<br/>
ns1,115.231.9.148,ssh,2,CN,Shanghai,Shanghai,31.045601,121.399696,2016-02-05 12:19:04<br/>2016-02-06 00:15:16<br/>
ns1,113.195.145.70,ssh,2,CN,Jiangxi,Nanchang,28.549999,115.933296,2016-02-01 18:58:58<br/>2016-02-02 00:16:13<br/>
ns1,192.187.103.34,cgpro-sip-100,3,US,Missouri,Kansas City,39.147202,-94.573502,2016-02-04 15:36:07<br/>2016-02-06 12:19:50<br/>2016-02-06 19:00:59<br/>
ns1,209.239.123.85,cgpro-sip-100,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-05 07:22:49<br/>
ns1,66.161.225.91,cgpro-smtp,1,US,Ohio,Cincinnati,39.190601,-84.454300,2016-02-01 04:59:41<br/>
ns1,69.64.57.215,cgpro-sip-invite,2,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-06 04:34:44<br/>2016-02-06 19:01:00<br/>
ns1,173.224.117.175,cgpro-sip-100,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-07 04:44:17<br/>
ns1,194.63.142.19,cgpro-sip-invite,6,RU,unknown,unknown,55.750000,37.616600,2016-01-31 09:49:24<br/>2016-02-03 21:08:55<br/>2016-02-04 01:09:59<br/>2016-02-05 21:58:02<br/>2016-02-06 01:15:16<br/>2016-02-06 19:01:00<br/>
ns1,69.30.221.162,cgpro-sip-100,4,US,Missouri,Kansas City,39.106800,-94.566002,2016-02-02 11:48:37<br/>2016-02-05 16:26:28<br/>2016-02-06 10:30:21<br/>2016-02-06 19:01:00<br/>
ns1,62.210.112.42,cgpro-sip-100,1,FR,unknown,unknown,48.860001,2.350000,2016-02-03 14:52:17<br/>
ns1,185.130.5.246,ssh,2,LT,unknown,unknown,56.000000,24.000000,2016-02-01 20:04:30<br/>2016-02-02 00:16:13<br/>
ns1,183.3.202.108,ssh,7,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-01-31 07:56:01<br/>2016-02-01 00:15:12<br/>2016-02-01 05:36:42<br/>2016-02-01 11:28:20<br/>2016-02-01 17:29:08<br/>2016-02-01 23:47:09<br/>2016-02-02 00:16:13<br/>
ns1,183.3.202.108,recidive,2,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-01-31 07:56:02<br/>2016-02-02 00:15:12<br/>
ns1,220.165.13.183,ssh,2,CN,Yunnan,Kunming,25.038900,102.718300,2016-02-06 19:20:18<br/>2016-02-07 00:15:18<br/>
ns1,173.242.117.177,cgpro-sip-invite,3,US,Pennsylvania,Clarks Summit,41.448601,-75.727997,2016-02-06 17:02:01<br/>2016-02-06 19:01:00<br/>2016-02-07 01:49:25<br/>
ns1,85.40.222.59,cgpro-sip-100,1,IT,unknown,unknown,42.833302,12.833300,2016-01-31 08:14:58<br/>
ns1,65.207.23.201,ssh,3,US,unknown,unknown,38.000000,-97.000000,2016-02-06 10:43:44<br/>2016-02-06 19:00:15<br/>2016-02-07 00:15:18<br/>
ns1,173.224.117.140,cgpro-sip-100,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-02 01:27:28<br/>
ns1,93.186.196.18,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-02-01 20:59:09<br/>
ns1,188.138.75.133,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-02-02 22:09:09<br/>
ns1,31.193.129.116,cgpro-sip-invite,1,GB,unknown,unknown,51.500000,-0.130000,2016-02-05 01:13:36<br/>
ns1,31.193.129.116,cgpro-sip-100,1,GB,unknown,unknown,51.500000,-0.130000,2016-02-04 11:08:21<br/>
ns1,172.93.99.106,cgpro-sip-100,1,US,unknown,unknown,38.000000,-97.000000,2016-02-03 17:37:27<br/>
ns1,69.64.61.194,cgpro-sip-100,4,US,Missouri,Saint Louis,38.631199,-90.192200,2016-01-31 20:57:46<br/>2016-02-01 16:16:52<br/>2016-02-02 19:32:34<br/>2016-02-03 18:12:21<br/>
ns1,193.189.117.150,cgpro-smtp,1,PL,unknown,unknown,52.233299,21.016701,2016-02-06 20:23:51<br/>
ns1,207.150.183.112,cgpro-sip-100,4,US,Florida,Tampa,27.886700,-82.511703,2016-02-02 21:01:42<br/>2016-02-03 07:15:40<br/>2016-02-04 13:11:01<br/>2016-02-05 20:53:40<br/>
ns1,123.59.55.83,recidive,2,CN,Beijing,Beijing,39.928902,116.388298,2016-02-03 02:12:57<br/>2016-02-04 00:16:15<br/>
ns1,123.59.55.83,ssh,6,CN,Beijing,Beijing,39.928902,116.388298,2016-02-03 00:44:16<br/>2016-02-03 01:10:30<br/>2016-02-03 01:32:55<br/>2016-02-03 01:51:10<br/>2016-02-03 02:12:54<br/>2016-02-04 00:16:16<br/>
ns1,212.159.61.123,ssh,6,GB,unknown,unknown,51.500000,-0.130000,2016-02-06 18:56:37<br/>2016-02-06 19:00:15<br/>2016-02-06 19:16:20<br/>2016-02-06 19:31:06<br/>2016-02-06 19:45:49<br/>2016-02-07 00:15:18<br/>
ns1,212.159.61.123,recidive,2,GB,unknown,unknown,51.500000,-0.130000,2016-02-06 19:45:50<br/>2016-02-07 00:15:17<br/>
ns1,192.187.127.250,cgpro-sip-invite,2,US,Missouri,Kansas City,39.147202,-94.573502,2016-02-03 04:01:21<br/>2016-02-04 01:07:21<br/>
ns1,209.126.122.20,cgpro-sip-100,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-06 22:32:44<br/>
ns1,183.105.20.181,ssh,2,KR,unknown,unknown,37.570000,126.980003,2016-02-01 15:00:23<br/>2016-02-02 00:15:12<br/>
ns1,54.183.152.114,ssh,2,US,California,San Jose,37.339401,-121.894997,2016-02-03 06:32:32<br/>2016-02-04 00:16:15<br/>
ns1,173.224.117.161,cgpro-sip-100,4,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-03 18:31:54<br/>2016-02-04 02:42:37<br/>2016-02-05 15:51:31<br/>2016-02-07 06:00:21<br/>
ns1,69.14.75.198,cgpro-smtp,1,US,Michigan,Warren,42.473598,-82.996803,2016-02-05 09:32:42<br/>
ns1,217.79.182.144,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-02-01 14:49:07<br/>
ns1,85.114.142.237,cgpro-sip-100,2,DE,unknown,unknown,51.000000,9.000000,2016-02-06 05:59:15<br/>2016-02-06 19:00:59<br/>
ns1,142.54.174.26,cgpro-sip-100,4,US,Missouri,Kansas City,39.147202,-94.573502,2016-02-05 21:05:07<br/>2016-02-06 02:05:23<br/>2016-02-06 19:00:59<br/>2016-02-07 05:15:50<br/>
ns1,209.126.97.240,cgpro-sip-100,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-06 23:26:53<br/>
ns1,193.201.225.27,ssh,2,UA,unknown,unknown,50.450001,30.523300,2016-02-05 06:00:22<br/>2016-02-06 00:15:16<br/>
ns1,92.88.255.55,cgpro-smtp,5,FR,unknown,unknown,48.860001,2.350000,2016-01-31 06:38:57<br/>2016-01-31 10:32:10<br/>2016-01-31 14:23:35<br/>2016-01-31 17:46:15<br/>2016-01-31 21:38:41<br/>
ns1,92.88.255.55,recidive,2,FR,unknown,unknown,48.860001,2.350000,2016-01-31 21:38:43<br/>2016-02-01 00:15:12<br/>
ns1,5.58.76.88,ssh,2,UA,unknown,unknown,50.450001,30.523300,2016-02-06 22:46:16<br/>2016-02-07 00:15:18<br/>
ns1,188.138.102.149,cgpro-sip-100,2,DE,unknown,unknown,51.000000,9.000000,2016-02-01 21:31:13<br/>2016-02-07 03:55:41<br/>
ns1,85.25.43.241,cgpro-sip-invite,2,DE,unknown,unknown,51.000000,9.000000,2016-02-06 03:27:57<br/>2016-02-06 19:01:00<br/>
ns1,85.25.43.241,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-02-04 05:01:42<br/>
ns1,78.31.65.126,cgpro-sip-100,2,DE,unknown,unknown,51.000000,9.000000,2016-02-03 16:54:07<br/>2016-02-04 10:51:14<br/>
ns1,185.40.4.78,cgpro-sip-invite,6,RU,unknown,unknown,55.750000,37.616600,2016-02-02 01:42:42<br/>2016-02-03 01:29:43<br/>2016-02-04 04:09:17<br/>2016-02-05 01:54:05<br/>2016-02-06 02:17:36<br/>2016-02-06 19:01:00<br/>
ns1,209.126.116.150,cgpro-sip-100,5,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-01 14:11:25<br/>2016-02-02 18:04:12<br/>2016-02-03 12:58:16<br/>2016-02-04 14:01:38<br/>2016-02-05 14:39:28<br/>
ns1,209.126.122.36,cgpro-sip-invite,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-04 02:27:27<br/>
ns1,209.126.117.77,cgpro-sip-100,4,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-02 19:13:33<br/>2016-02-03 04:25:18<br/>2016-02-04 11:26:24<br/>2016-02-05 13:41:34<br/>
ns1,23.239.65.133,cgpro-sip-100,1,US,unknown,unknown,38.000000,-97.000000,2016-02-01 12:11:16<br/>
ns1,185.130.5.179,ssh,2,LT,unknown,unknown,56.000000,24.000000,2016-02-01 12:47:02<br/>2016-02-02 00:16:13<br/>
ns1,185.24.104.13,cgpro-smtp,3,IT,unknown,unknown,42.833302,12.833300,2016-02-06 17:26:17<br/>2016-02-06 17:57:09<br/>2016-02-06 19:01:00<br/>
ns1,69.4.81.186,cgpro-sip-100,3,US,New York,Buffalo,42.888401,-78.876099,2016-02-04 13:49:47<br/>2016-02-06 15:00:54<br/>2016-02-06 19:00:59<br/>
