host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,66.190.127.102,cgpro-smtp,6,US,Alabama,Birmingham,33.420101,-86.786697,2016-02-02 01:01:00
ns1,85.25.237.38,cgpro-sip-invite,3,DE,unknown,unknown,51.000000,9.000000,2016-02-02 01:01:34
ns1,176.106.42.50,cgpro-sip-invite,1,PS,unknown,unknown,32.000000,35.250000,2016-02-02 01:04:22
ns1,209.126.114.69,cgpro-sip-invite,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-02 01:05:39
ns1,209.126.124.208,cgpro-sip-invite,2,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-02 01:09:42
ns1,209.126.114.73,cgpro-sip-invite,2,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-02 01:11:06
ns1,66.190.127.102,cgpro-smtp,7,US,Alabama,Birmingham,33.420101,-86.786697,2016-02-02 01:17:00
ns1,62.141.42.127,cgpro-sip-invite,2,DE,unknown,unknown,51.000000,9.000000,2016-02-02 01:21:27
ns1,173.224.117.140,cgpro-sip-100,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-02 01:27:28
ns1,185.40.4.45,cgpro-sip-invite,2,RU,unknown,unknown,55.750000,37.616600,2016-02-02 01:31:03
ns1,66.190.127.102,cgpro-smtp,8,US,Alabama,Birmingham,33.420101,-86.786697,2016-02-02 01:32:57
ns1,185.40.4.78,cgpro-sip-invite,1,RU,unknown,unknown,55.750000,37.616600,2016-02-02 01:42:42
ns1,185.40.4.30,cgpro-sip-invite,1,RU,unknown,unknown,55.750000,37.616600,2016-02-02 01:48:05
ns1,66.190.127.102,cgpro-smtp,9,US,Alabama,Birmingham,33.420101,-86.786697,2016-02-02 01:48:55
ns1,89.163.144.209,cgpro-sip-invite,1,DE,unknown,unknown,51.000000,9.000000,2016-02-02 01:50:43
ns1,222.34.93.200,ssh,1,CN,Beijing,Beijing,39.928902,116.388298,2016-02-02 01:59:26
