host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,206.221.177.186,cgpro-sip-100,3,US,New Jersey,Piscataway,40.551601,-74.463699,2016-02-05 19:11:38
ns1,178.34.184.82,ssh,1,RU,unknown,unknown,55.750000,37.616600,2016-02-05 19:43:25
ns1,23.91.70.171,cgpro-smtp,3,US,unknown,unknown,38.000000,-97.000000,2016-02-05 19:57:21
ns1,69.64.61.103,cgpro-sip-100,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-05 19:58:28
ns2,222.186.34.48,ssh,1,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-05 19:09:01
