host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,85.25.194.45,cgpro-sip-invite,1,DE,unknown,unknown,51.000000,9.000000,2016-02-01 01:04:39
ns1,85.25.237.38,cgpro-sip-invite,2,DE,unknown,unknown,51.000000,9.000000,2016-02-01 01:07:11
ns1,209.126.124.208,cgpro-sip-invite,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-01 01:08:57
ns1,209.126.114.73,cgpro-sip-invite,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-01 01:10:51
ns1,66.194.155.194,cgpro-smtp,1,US,Tennessee,Collierville,35.091099,-89.651001,2016-02-01 01:12:00
ns1,66.194.155.194,cgpro-smtp,2,US,Tennessee,Collierville,35.091099,-89.651001,2016-02-01 01:27:10
ns1,66.194.155.194,cgpro-smtp,3,US,Tennessee,Collierville,35.091099,-89.651001,2016-02-01 01:42:21
ns1,93.104.213.108,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-02-01 01:42:27
ns1,209.239.123.101,cgpro-sip-100,2,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-01 01:47:09
ns1,209.126.102.145,cgpro-sip-invite,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-01 01:52:21
ns1,66.194.155.194,cgpro-smtp,4,US,Tennessee,Collierville,35.091099,-89.651001,2016-02-01 01:57:35
