host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,206.221.177.186,cgpro-sip-100,4,US,New Jersey,Piscataway,40.551601,-74.463699,2016-02-06 20:16:43
ns1,193.189.117.150,cgpro-smtp,1,PL,unknown,unknown,52.233299,21.016701,2016-02-06 20:23:51
ns1,125.88.177.87,ssh,3,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-02-06 20:31:27
ns1,63.141.238.58,cgpro-sip-100,6,US,Missouri,Kansas City,39.147202,-94.573502,2016-02-06 20:50:22
ns2,183.3.202.113,ssh,4,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-02-06 20:47:45
