host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,89.163.148.242,cgpro-sip-100,1,DE,unknown,unknown,51.000000,9.000000,2016-02-02 20:28:58
ns2,183.3.202.101,ssh,1,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-02-02 20:01:57
ns2,222.186.21.82,ssh,1,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-02 20:50:14
ns2,222.186.34.87,ssh,1,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-02 20:50:55
