host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,66.194.155.194,recidive,4,US,Tennessee,Collierville,35.091099,-89.651001,2016-02-04 00:15:15
ns1,14.182.99.67,ssh,2,VN,Ha Noi,Hanoi,21.033300,105.849998,2016-02-04 00:15:16
ns1,123.59.55.83,recidive,2,CN,Beijing,Beijing,39.928902,116.388298,2016-02-04 00:16:15
ns1,54.183.152.114,ssh,2,US,California,San Jose,37.339401,-121.894997,2016-02-04 00:16:15
ns1,95.56.234.110,ssh,6,KZ,Almaty City,Almaty,43.256500,76.928497,2016-02-04 00:16:15
ns1,212.129.26.221,ssh,2,FR,unknown,unknown,48.860001,2.350000,2016-02-04 00:16:15
ns1,221.194.57.246,ssh,11,CN,Hebei,Hebei,39.889702,115.275002,2016-02-04 00:16:16
ns1,59.63.188.44,ssh,2,CN,Jiangxi,Nanchang,28.549999,115.933296,2016-02-04 00:16:16
ns1,85.25.217.79,ssh,2,DE,unknown,unknown,51.000000,9.000000,2016-02-04 00:16:16
ns1,123.59.55.83,ssh,6,CN,Beijing,Beijing,39.928902,116.388298,2016-02-04 00:16:16
ns1,112.168.26.199,ssh,2,KR,unknown,unknown,37.570000,126.980003,2016-02-04 00:16:16
