host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,122.116.240.58,cgpro-smtp,4,TW,unknown,unknown,23.500000,121.000000,2016-02-06 22:08:10
ns1,122.116.240.58,cgpro-smtp,5,TW,unknown,unknown,23.500000,121.000000,2016-02-06 22:22:50
ns1,122.116.240.58,recidive,1,TW,unknown,unknown,23.500000,121.000000,2016-02-06 22:22:52
ns1,209.126.122.20,cgpro-sip-100,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-06 22:32:44
ns1,185.130.5.231,ssh,1,LT,unknown,unknown,56.000000,24.000000,2016-02-06 22:37:55
ns1,125.88.177.87,ssh,4,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-02-06 22:43:38
ns1,5.58.76.88,ssh,1,UA,unknown,unknown,50.450001,30.523300,2016-02-06 22:46:16
ns2,183.3.202.113,ssh,5,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-02-06 22:04:39
ns2,183.3.202.113,recidive,1,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-02-06 22:04:40
ns2,89.163.148.90,ssh,1,DE,unknown,unknown,51.000000,9.000000,2016-02-06 22:41:06
