host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,202.46.3.25,ssh,3,ID,Jakarta Raya,Jakarta,-6.174400,106.829399,2016-02-07 00:07:12
ns1,159.203.22.163,ssh,3,CA,Ontario,Toronto,43.666698,-79.416702,2016-02-07 00:11:53
ns1,85.113.212.211,recidive,5,RU,Kostroma,Kostroma,57.770802,40.934399,2016-02-07 00:15:16
ns1,212.159.61.123,recidive,2,GB,unknown,unknown,51.500000,-0.130000,2016-02-07 00:15:17
ns1,66.190.127.102,recidive,9,US,Alabama,Birmingham,33.420101,-86.786697,2016-02-07 00:15:17
ns1,122.116.240.58,recidive,2,TW,unknown,unknown,23.500000,121.000000,2016-02-07 00:15:17
ns1,168.63.200.101,ssh,3,US,unknown,unknown,38.000000,-97.000000,2016-02-07 00:15:18
ns1,85.113.212.211,ssh,13,RU,Kostroma,Kostroma,57.770802,40.934399,2016-02-07 00:15:18
ns1,185.130.5.231,ssh,2,LT,unknown,unknown,56.000000,24.000000,2016-02-07 00:15:18
ns1,202.46.3.25,ssh,4,ID,Jakarta Raya,Jakarta,-6.174400,106.829399,2016-02-07 00:15:18
ns1,65.207.23.201,ssh,3,US,unknown,unknown,38.000000,-97.000000,2016-02-07 00:15:18
ns1,221.194.57.246,ssh,19,CN,Hebei,Hebei,39.889702,115.275002,2016-02-07 00:15:18
ns1,159.203.22.163,ssh,4,CA,Ontario,Toronto,43.666698,-79.416702,2016-02-07 00:15:18
ns1,5.58.76.88,ssh,2,UA,unknown,unknown,50.450001,30.523300,2016-02-07 00:15:18
ns1,222.186.21.100,ssh,13,CN,Jiangsu,Nanjing,32.061699,118.777802,2016-02-07 00:15:18
ns1,220.165.13.183,ssh,2,CN,Yunnan,Kunming,25.038900,102.718300,2016-02-07 00:15:18
ns1,212.159.61.123,ssh,6,GB,unknown,unknown,51.500000,-0.130000,2016-02-07 00:15:18
ns1,125.88.177.87,ssh,5,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-02-07 00:15:18
ns1,125.88.177.87,recidive,1,CN,Guangdong,Guangzhou,23.116699,113.250000,2016-02-07 00:15:19
ns1,159.203.22.163,ssh,5,CA,Ontario,Toronto,43.666698,-79.416702,2016-02-07 00:34:31
ns1,159.203.22.163,recidive,1,CA,Ontario,Toronto,43.666698,-79.416702,2016-02-07 00:34:33
