host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,183.101.30.3,ssh,3,KR,unknown,unknown,37.570000,126.980003,2016-02-07 04:02:01
ns1,183.101.30.3,ssh,4,KR,unknown,unknown,37.570000,126.980003,2016-02-07 04:22:58
ns1,183.101.30.3,ssh,5,KR,unknown,unknown,37.570000,126.980003,2016-02-07 04:38:41
ns1,183.101.30.3,recidive,1,KR,unknown,unknown,37.570000,126.980003,2016-02-07 04:38:44
ns1,188.138.33.38,cgpro-sip-invite,1,DE,unknown,unknown,51.000000,9.000000,2016-02-07 04:41:06
ns1,173.224.117.175,cgpro-sip-100,1,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-07 04:44:17
ns1,202.46.3.25,ssh,5,ID,Jakarta Raya,Jakarta,-6.174400,106.829399,2016-02-07 04:53:41
ns2,185.130.5.231,ssh,1,LT,unknown,unknown,56.000000,24.000000,2016-02-07 04:02:31
