host,ip,service,occurences,country,region,city,lat,lon,timelog
ns1,23.91.70.171,cgpro-smtp,2,US,unknown,unknown,38.000000,-97.000000,2016-02-04 18:11:44
ns1,59.45.79.55,ssh,4,CN,Liaoning,Shenyang,41.792198,123.432800,2016-02-04 18:25:56
ns1,195.154.177.160,cgpro-sip-invite,1,FR,unknown,unknown,48.860001,2.350000,2016-02-04 18:27:26
ns1,59.45.79.55,ssh,5,CN,Liaoning,Shenyang,41.792198,123.432800,2016-02-04 18:50:36
ns1,59.45.79.55,recidive,1,CN,Liaoning,Shenyang,41.792198,123.432800,2016-02-04 18:50:37
ns1,209.239.123.96,cgpro-sip-100,3,US,Missouri,Saint Louis,38.631199,-90.192200,2016-02-04 18:57:30
